main_required_skill,soft_required_skill,user_skill1,user_skill2,years_experience,user_points
Teacher,Professor,Teacher,Solutions Architect,5,17
Project Manager,Manager,Project Manager,Medical Doctor,4,12
Front End Developer,Back End Developer,Front End Developer,Fitness Coach,1,3
Florist,Cybersecurity Analyst,Florist,Makeup Artist,5,17
Full Stack Developer,Electrical Engineer,Full Stack Developer,Back End Developer,1,3
Technical Writer,Florist,Technical Writer,Pilot,4,12
Machinist,Technical Writer,Machinist,Physiotherapist,3,8
Judge,Lawyer,Judge,Professor,3,8
Jeweler,Hairdresser / Barber,Jeweler,Mechanical Engineer,5,17
Makeup Artist,Artist,Makeup Artist,Civil Engineer,2,5
Electrical Engineer,Environmental Engineer,Electrical Engineer,Translator,5,17
Front End Developer,Game Developer,Front End Developer,Technical Writer,5,17
Hotel / Restaurant Manager,Tour Guide,Hotel / Restaurant Manager,Back End Developer,1,3
Human Resources Manager,Project Manager,Human Resources Manager,Mechanical Engineer,3,8
Pharmacist,Nurse,Pharmacist,Back End Developer,3,8
Full Stack Developer,IT Engineer,Full Stack Developer,Lawyer,4,12
Sports Therapist,Yoga Instructor,Sports Therapist,Business Analyst,2,5
Lawyer,Judge,Lawyer,Chemical Engineer,4,12
Cybersecurity Analyst,Florist,Cybersecurity Analyst,Electrical Engineer,5,17
Physiotherapist,Medical Doctor,Physiotherapist,Manager,5,17
Chef,Event Planner,Chef,Front End Developer,2,5
Sports Therapist,Fitness Coach,Sports Therapist,Personal Trainer,1,3
Chef,Barista / Waitor,Chef,Marketing Manager,4,12
Lawyer,Judge,Lawyer,Graphic Designer,2,5
Professor,Teacher,Professor,Barista / Waitor,3,8
Judge,Lawyer,Judge,Front End Developer,1,3
Manager,Marketing Manager,Manager,Business Analyst,2,5
Hotel / Restaurant Manager,Tour Guide,Hotel / Restaurant Manager,Chef,5,17
Human Resources Manager,Project Manager,Human Resources Manager,Chemical Engineer,2,5
Judge,Lawyer,Judge,Chef,1,3
Professor,Teacher,Professor,Electrician,1,3
Yoga Instructor,Personal Trainer,Yoga Instructor,Full Stack Developer,5,17
Judge,Lawyer,Judge,Lawyer,3,9
